node1,label,node2
https://www.allmusic.com/artist/new-power-generation-mn0000398882,in,cluster_12661
1990,in,cluster_40220
https://www.allmusic.com/artist/michael-jackson-mn0000467203,in,cluster_20117
https://www.allmusic.com/song/bullet-in-the-head-mt0004970437,in,cluster_29369
https://www.allmusic.com/artist/zack-de-la-rocha-mn0000963992,in,cluster_7277
https://www.allmusic.com/song/right-here-mt0000828407,in,cluster_22633
0.7207119982125567,in,cluster_40220
https://www.allmusic.com/song/i-got-you-mt0000846769,in,cluster_22633
https://www.allmusic.com/artist/neil-finn-mn0000393768,in,cluster_46504
https://www.allmusic.com/artist/fka-twigs-mn0003145761,in,cluster_20117
2010s - 2020s,in,cluster_20896
https://www.allmusic.com/artist/neil-michael-hagerty-mn0000329837,in,cluster_46504
https://www.allmusic.com/artist/sidiki-diabat%C3%A9-mn0003269780,in,cluster_46504
"Malian singer, producer, and kora player who combines Afro-pop and hip-hop with griot traditions.",in,cluster_40285
https://www.allmusic.com/artist/bob-dylan-mn0000066915,in,cluster_25413
1950s - 2020s,in,cluster_20896
https://www.allmusic.com/artist/fats-waller-mn0000162762,in,cluster_46504
"May 21, 1904, New York City, NY",in,cluster_40285
https://www.allmusic.com/song/catapult-mt0008748430,in,cluster_29369
https://www.allmusic.com/style/jangle-pop-ma0000012349,in,cluster_40220
https://www.allmusic.com/artist/matt-crocker-mn0002040436,in,cluster_20117
Matt Crocker,in,cluster_21623
https://www.allmusic.com/artist/garbage-mn0000194246,in,cluster_40285
Chart-topping rock band who blend shimmering electronic pop with Shirley Manson's emotive vocals.,in,cluster_40285
https://www.allmusic.com/artist/dennis-deyoung-mn0000241635,in,cluster_46504
"February 18, 1947, Chicago, IL",in,cluster_40285
https://www.allmusic.com/artist/jb-jefferson-mn0000778525,in,cluster_19593
https://www.allmusic.com/artist/aaron-copland-mn0000765838,in,cluster_46504
Aaron Copland,in,cluster_40285
https://www.allmusic.com/song/i-got-rhythm-mt0005715969,in,cluster_29369
0.4819271906899505,in,cluster_40220
https://www.allmusic.com/song/only-yesterday-mt0004606420,in,cluster_22633
Only Yesterday,in,cluster_21623
https://www.allmusic.com/song/good-thing-mt0040133179,in,cluster_22633
0.5865736747734263,in,cluster_40220
https://www.allmusic.com/artist/martha-tilson-mn0001912918,in,cluster_20117
